DATE,GDPC1
1/1/47,2034.45
1/4/47,2029.024
1/7/47,2024.834
1/10/47,2056.508
1/1/48,2087.442
1/4/48,2121.899
1/7/48,2134.056
1/10/48,2136.44
1/1/49,2107.001
1/4/49,2099.814
1/7/49,2121.493
1/10/49,2103.688
1/1/50,2186.365
1/4/50,2253.045
1/7/50,2340.112
1/10/50,2384.92
1/1/51,2417.311
1/4/51,2459.196
1/7/51,2509.88
1/10/51,2515.408
1/1/52,2542.286
1/4/52,2547.762
1/7/52,2566.153
1/10/52,2650.431
1/1/53,2699.699
1/4/53,2720.566
1/7/53,2705.258
1/10/53,2664.302
1/1/54,2651.566
1/4/54,2654.456
1/7/54,2684.434
1/10/54,2736.96
1/1/55,2815.134
1/4/55,2860.942
1/7/55,2899.578
1/10/55,2916.985
1/1/56,2905.656
1/4/56,2929.666
1/7/56,2927.034
1/10/56,2975.209
1/1/57,2994.259
1/4/57,2987.699
1/7/57,3016.979
1/10/57,2985.775
1/1/58,2908.281
1/4/58,2927.395
1/7/58,2995.112
1/10/58,3065.141
1/1/59,3123.978
1/4/59,3194.429
1/7/59,3196.683
1/10/59,3205.79
1/1/60,3277.847
1/4/60,3260.177
1/7/60,3276.133
1/10/60,3234.087
1/1/61,3255.914
1/4/61,3311.181
1/7/61,3374.742
1/10/61,3440.924
1/1/62,3502.298
1/4/62,3533.947
1/7/62,3577.362
1/10/62,3589.128
1/1/63,3628.306
1/4/63,3669.02
1/7/63,3749.681
1/10/63,3774.264
1/1/64,3853.835
1/4/64,3895.793
1/7/64,3956.657
1/10/64,3968.878
1/1/65,4064.915
1/4/65,4116.267
1/7/65,4207.782
1/10/65,4304.731
1/1/66,4409.518
1/4/66,4424.581
1/7/66,4462.053
1/10/66,4498.66
1/1/67,4538.498
1/4/67,4541.28
1/7/67,4584.246
1/10/67,4618.812
1/1/68,4713.013
1/4/68,4791.758
1/7/68,4828.892
1/10/68,4847.885
1/1/69,4923.76
1/4/69,4938.728
1/7/69,4971.349
1/10/69,4947.104
1/1/70,4939.759
1/4/70,4946.77
1/7/70,4992.357
1/10/70,4938.857
1/1/71,5072.996
1/4/71,5100.447
1/7/71,5142.422
1/10/71,5154.547
1/1/72,5249.337
1/4/72,5368.485
1/7/72,5419.184
1/10/72,5509.926
1/1/73,5646.286
1/4/73,5707.755
1/7/73,5677.738
1/10/73,5731.632
1/1/74,5682.353
1/4/74,5695.859
1/7/74,5642.025
1/10/74,5620.126
1/1/75,5551.713
1/4/75,5591.382
1/7/75,5687.087
1/10/75,5763.665
1/1/76,5893.276
1/4/76,5936.515
1/7/76,5969.089
1/10/76,6012.356
1/1/77,6083.391
1/4/77,6201.659
1/7/77,6313.559
1/10/77,6313.697
1/1/78,6333.848
1/4/78,6578.605
1/7/78,6644.754
1/10/78,6734.069
1/1/79,6746.176
1/4/79,6753.389
1/7/79,6803.558
1/10/79,6820.572
1/1/80,6842.024
1/4/80,6701.046
1/7/80,6693.082
1/10/80,6817.903
1/1/81,6951.495
1/4/81,6899.98
1/7/81,6982.609
1/10/81,6906.529
1/1/82,6799.233
1/4/82,6830.251
1/7/82,6804.139
1/10/82,6806.857
1/1/83,6896.561
1/4/83,7053.5
1/7/83,7194.504
1/10/83,7344.597
1/1/84,7488.167
1/4/84,7617.547
1/7/84,7690.985
1/10/84,7754.117
1/1/85,7829.26
1/4/85,7898.194
1/7/85,8018.809
1/10/85,8078.415
1/1/86,8153.829
1/4/86,8190.552
1/7/86,8268.935
1/10/86,8313.338
1/1/87,8375.274
1/4/87,8465.63
1/7/87,8539.075
1/10/87,8685.694
1/1/88,8730.569
1/4/88,8845.28
1/7/88,8897.107
1/10/88,9015.661
1/1/89,9107.314
1/4/89,9176.827
1/7/89,9244.816
1/10/89,9263.033
1/1/90,9364.259
1/4/90,9398.243
1/7/90,9404.494
1/10/90,9318.876
1/1/91,9275.276
1/4/91,9347.597
1/7/91,9394.834
1/10/91,9427.581
1/1/92,9540.444
1/4/92,9643.893
1/7/92,9739.185
1/10/92,9840.753
1/1/93,9857.185
1/4/93,9914.565
1/7/93,9961.873
1/10/93,10097.362
1/1/94,10195.338
1/4/94,10333.495
1/7/94,10393.898
1/10/94,10512.962
1/1/95,10550.251
1/4/95,10581.723
1/7/95,10671.738
1/10/95,10744.203
1/1/96,10824.674
1/4/96,11005.217
1/7/96,11103.935
1/10/96,11219.238
1/1/97,11291.665
1/4/97,11479.33
1/7/97,11622.911
1/10/97,11722.722
1/1/98,11839.876
1/4/98,11949.492
1/7/98,12099.191
1/10/98,12294.737
1/1/99,12410.778
1/4/99,12514.408
1/7/99,12679.977
1/10/99,12888.281
1/1/00,12935.252
1/4/00,13170.749
1/7/00,13183.89
1/10/00,13262.25
1/1/01,13219.251
1/4/01,13301.394
1/7/01,13248.142
1/10/01,13284.881
1/1/02,13394.91
1/4/02,13477.356
1/7/02,13531.741
1/10/02,13549.421
1/1/03,13619.434
1/4/03,13741.107
1/7/03,13970.157
1/10/03,14131.379
1/1/04,14212.34
1/4/04,14323.017
1/7/04,14457.832
1/10/04,14605.595
1/1/05,14767.846
1/4/05,14839.707
1/7/05,14956.291
1/10/05,15041.232
1/1/06,15244.088
1/4/06,15281.525
1/7/06,15304.517
1/10/06,15433.643
1/1/07,15478.956
1/4/07,15577.779
1/7/07,15671.605
1/10/07,15767.146
1/1/08,15702.906
1/4/08,15792.773
1/7/08,15709.562
1/10/08,15366.607
1/1/09,15187.475
1/4/09,15161.772
1/7/09,15216.647
1/10/09,15379.155
1/1/10,15456.059
1/4/10,15605.628
1/7/10,15726.282
1/10/10,15807.995
1/1/11,15769.911
1/4/11,15876.839
1/7/11,15870.684
1/10/11,16048.702
1/1/12,16179.968
1/4/12,16253.726
1/7/12,16282.151
1/10/12,16300.035
1/1/13,16441.485
1/4/13,16464.402
1/7/13,16594.743
1/10/13,16712.76
1/1/14,16654.247
1/4/14,16868.109
1/7/14,17064.616
1/10/14,17141.235
1/1/15,17280.647
1/4/15,17380.875
1/7/15,17437.08
1/10/15,17462.579
1/1/16,17565.465
1/4/16,17618.581
1/7/16,17724.489
1/10/16,17812.56
1/1/17,17896.623
1/4/17,17996.802
1/7/17,18126.226
1/10/17,18296.685
1/1/18,18436.262
1/4/18,18590.004
1/7/18,18679.599
1/10/18,18721.281
1/1/19,18833.195
1/4/19,18982.528
1/7/19,19112.653
1/10/19,19202.31
1/1/20,18951.992
1/4/20,17258.205
1/7/20,18560.774
1/10/20,18767.778
1/1/21,19055.655
1/4/21,19360.6
